id,name-en,name-zh,quality,category,acquisition
186,"脆弱的骨片
","脆弱的骨片
",2,"武器培养素材
","幼岩龙蜥掉落(幼岩龙蜥位置：视频)精英怪物掉落岩龙蜥掉落深海龙蜥与深海龙蜥幼体掉落
"
187,"精锻用良矿
","精锻用良矿
",2,"武器强化素材
","解决事件报酬由白铁块或星银矿石锻造获得
"
188,"狮牙斗士的枷锁
","狮牙斗士的枷锁
",2,"武器突破素材
","纪念品商店兑换秘境获得塞西莉亚苗圃炼武秘境:渴水的废都Ⅰ/Ⅱ/Ⅲ/Ⅳ（塞西莉亚苗圃限时开启）时间：周三/周六/周日活动获得参量转化
"
189,"「诗文」的教导
","「诗文」的教导
",2,"角色天赋素材
","活动获得忘却之峡精通秘境:沉睡之国Ⅰ/Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周三/周六/周日秘境获得
"
190,"孤云寒林的光砂
","孤云寒林的光砂
",2,"武器突破素材
","纪念品商店兑换秘境获得震雷连山密宫炼武秘境:雷云祭坛Ⅰ/Ⅱ/Ⅲ/Ⅳ（震雷连山密宫限时开启）时间：周一/周四/周日活动获得参量转化
"
191,"荧光孢粉
","荧光孢粉
",2,"角色与武器培养素材
","普通怪物掉落合成获得40级以上蕈兽掉落
"
192,"地脉的旧枝
","地脉的旧枝
",2,"武器培养素材
","（深渊法师位置）精英怪物掉落深渊法师/咏者/使徒掉落
"
193,"果酿饵
","果酿饵
",2,"鱼饵
","合成获得
"
194,"绿洲花园的追忆
","绿洲花园的追忆
",2,"武器突破素材
","秘境获得合成获得有顶塔炼武秘境:思惑 Ⅰ/Ⅱ/Ⅲ/Ⅳ（有顶塔限时开启）时间：周二/周五/周日
"
195,"晦暗刻像
","晦暗刻像
",2,"武器培养素材
","精英怪物掉落黑蛇众掉落深渊使徒深渊咏者掉落
"
196,"「笃行」的教导
","「笃行」的教导
",2,"角色天赋素材
","活动获得秘境获得昏识塔精通秘境:律藏Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周三/周六/周日
"
197,"史莱姆清
","史莱姆清
",2,"角色与武器培养素材
","普通怪物掉落合成获得40级以上史莱姆掉落
"
198,"「浮世」的教导
","「浮世」的教导
",2,"角色天赋素材
","活动获得时间：周一/周四/周日秘境获得在稻妻开启宝箱时概率获得菫色之庭精通秘境:菫染之国Ⅰ/Ⅱ/Ⅲ/Ⅳ（菫色之庭限时开启）
"
199,"鸣神御灵的明惠
","鸣神御灵的明惠
",2,"武器突破素材
","秘境获得砂流之庭炼武秘境:砂之祭场 Ⅰ/Ⅱ/Ⅲ/Ⅳ（砂流之庭限时开启）时间：周二/周五/周日活动获得参量转化
"
200,"「勤劳」的教导
","「勤劳」的教导
",2,"角色天赋素材
","活动获得太山府精通秘境:深炎之底Ⅰ/Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周二/周五/周日秘境获得
"
201,"哀叙冰玉碎屑
","哀叙冰玉碎屑
",2,"角色突破素材
","BOSS掉落纪念品商店兑换急冻树掉落北风狼挑战奖励无相之冰掉落周常BOSS掉落冰属性古岩龙蜥掉落冰属性若陀龙王挑战奖励黄金屋挑战奖励魔偶剑鬼掉落恒常机关阵列掉落女士挑战奖励深海龙蜥之群掉落兆载永劫龙兽掉落
"
202,"雾虚花粉
","雾虚花粉
",2,"武器培养素材
","（雷萤术士位置视频）萤术士掉落精英怪物掉落
"
203,"自在松石碎屑
","自在松石碎屑
",2,"角色突破素材
","BOSS掉落纪念品商店兑换无相之风掉落魔偶剑鬼掉落每日委托奖励半永恒统辖矩阵掉落风蚀沙虫掉落周常BOSS掉落风魔龙挑战奖励正机之神挑战奖励
"
204,"远海夷地的瑚枝
","远海夷地的瑚枝
",2,"武器突破素材
","秘境获得砂流之庭炼武秘境:沉砂之渊 Ⅰ/Ⅱ/Ⅲ/Ⅳ（砂流之庭限时开启）时间：周一/周四/周日活动获得参量转化
"
205,"「诤言」的教导
","「诤言」的教导
",2,"角色天赋素材
","活动获得秘境获得昏识塔精通秘境:圆镜Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周一/周四/周日
"
206,"混沌机关
","混沌机关
",2,"武器培养素材
","精英怪物掉落遗迹机兵掉落（帮助：位置视频）
"
207,"赤糜饵
","赤糜饵
",2,"鱼饵
","合成获得
"
208,"锐利的箭簇
","锐利的箭簇
",2,"角色与武器培养素材
","普通怪物掉落合成获得40级以上射手类丘丘人掉落(推荐位置：点击跳转视频)
"
209,"士官的徽记
","士官的徽记
",2,"角色与武器培养素材
","普通怪物掉落合成获得40级以上先遣队掉落40级以上债务处理人少量掉落40级以上雷莹术士少量掉落(债务处理人位置视频雷萤术士位置视频)（推荐：先遣队六兄弟位置）
"
210,"甘露饵
","甘露饵
",2,"鱼饵
","合成获得（鱼饵图纸用三只花鳉在须弥奥摩斯港的钓鱼协会兑换）
"
211,"生长碧翡碎屑
","生长碧翡碎屑
",2,"角色突破素材
","BOSS掉落纪念品商店兑换翠翎恐蕈掉落无相之草掉落
"
212,"影打刀镡
","影打刀镡
",2,"角色与武器培养素材
","普通怪物掉落野伏众掉落（帮助：位置视频）
"
213,"镶边红绸
","镶边红绸
",2,"角色与武器培养素材
","普通怪物掉落镀金旅团掉落
"
214,"藏银鸦印
","藏银鸦印
",2,"角色与武器培养素材
","普通怪物掉落合成获得40级以上盗宝团成员掉落掉落（盗宝团位置视频）
"
215,"燃愿玛瑙碎屑
","燃愿玛瑙碎屑
",2,"角色突破素材
","BOSS掉落纪念品商店兑换火属性古岩龙蜥掉落北风狼挑战奖励周常BOSS掉落爆炎树掉落无相之火掉落火属性若陀龙王挑战奖励女士挑战奖励半永恒统辖矩阵掉落
"
216,"蠕虫假饵
","蠕虫假饵
",2,"鱼饵
","合成获得
"
217,"最胜紫晶碎屑
","最胜紫晶碎屑
",2,"角色突破素材
","BOSS掉落无相之雷掉落雷属性古岩龙蜥掉落雷属性若陀龙王挑战奖励风魔龙挑战奖励黄金屋挑战奖励雷音权现掉落深海龙蜥之群掉落永恒的守护者挑战奖励正机之神挑战奖励掣电树掉落周常BOSS掉落纪念品商店兑换
"
218,"隐兽指爪
","隐兽指爪
",2,"武器培养素材
","兽境幼兽掉落兽境猎犬掉落精英怪物掉落
"
219,"「抗争」的教导
","「抗争」的教导
",2,"角色天赋素材
","活动获得忘却之峡精通秘境:冰封废渊Ⅰ/Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周二/周五/周日秘境获得
"
220,"漆黑陨铁的一粒
","漆黑陨铁的一粒
",2,"武器突破素材
","纪念品商店兑换秘境获得震雷连山密宫炼武秘境:古雷试炼场Ⅰ/Ⅱ/Ⅲ/Ⅳ（震雷连山密宫限时开启）时间：周三/周六/周日活动获得参量转化
"
221,"流浪者的经验
","流浪者的经验
",2,"角色经验素材
","冒险与探索奖励
"
222,"沉重号角
","沉重号角
",2,"武器培养素材
","(帮助视频：点击跳转)精英怪物掉落丘丘暴徒与丘丘王掉落
"
223,"塞西莉亚花
","塞西莉亚花
",2,"蒙德区域特产
","野外采集推荐：摘星崖采集（采集帮助：采集视频）蒙德城花语店主芙萝拉处购买（1000摩拉每个，三天刷新一次，限购五个）
"
224,"「黄金」的教导
","「黄金」的教导
",2,"角色天赋素材
","活动获得太山府精通秘境:焚尽之环Ⅰ/Ⅱ/Ⅲ/Ⅳ（太山府限时开启）秘境获得时间：周三/周六/周日在璃月开启宝箱时概率获得
"
225,"污秽的面具
","污秽的面具
",2,"角色与武器培养素材
","普通怪物掉落合成获得40级以上丘丘人掉落40级以上射手类丘丘人少量掉落40级以上丘丘萨满少量掉落40级以上大体格丘丘人少量掉落
"
226,"微光花蜜
","微光花蜜
",2,"角色与武器培养素材
","普通怪物掉落合成获得40级以上骗骗花掉落(采集帮助：骗骗花位置视频)
"
227,"「风雅」的教导
","「风雅」的教导
",2,"角色天赋素材
","活动获得时间：周二/周五/周日秘境获得菫色之庭精通秘境:初雷幽谷Ⅰ/Ⅱ/Ⅲ/Ⅳ（菫色之庭限时开启）
"
228,"「繁荣」的教导
","「繁荣」的教导
",2,"角色天赋素材
","活动获得太山府精通秘境:炽炎祭场Ⅰ/Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周一/周四/周日秘境获得
"
229,"混沌容器
","混沌容器
",2,"武器培养素材
","普通怪物掉落自律机关掉落
"
230,"混沌装置
","混沌装置
",2,"武器培养素材
","遗迹守卫掉落遗迹猎者掉落遗迹重机掉落精英怪物掉落
"
231,"飞蝇假饵
","飞蝇假饵
",2,"鱼饵
","合成获得
"
232,"凛风奔狼的始龀
","凛风奔狼的始龀
",2,"武器突破素材
","纪念品商店兑换秘境获得塞西莉亚苗圃炼武秘境:深没之谷Ⅰ/Ⅱ/Ⅲ/Ⅳ（塞西莉亚苗圃限时开启）时间：周二/周五/周日活动获得参量转化
"
233,"隐兽利爪
","隐兽利爪
",3,"武器培养素材
","40级以上兽境幼兽掉落40级以上兽境猎犬掉落
"
234,"「抗争」的指引
","「抗争」的指引
",3,"角色天赋素材
","合成获得活动获得忘却之峡精通秘境:冰封废渊Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周二/周五/周日秘境获得
"
235,"漆黑陨铁的一片
","漆黑陨铁的一片
",3,"武器突破素材
","秘境获得合成获得震雷连山密宫炼武秘境:古雷试炼场Ⅱ/Ⅲ/Ⅳ（震雷连山密宫限时开启）时间：周三/周六/周日活动获得参量转化
"
236,"冒险家的经验
","冒险家的经验
",3,"角色经验素材
","冒险与探索奖励
"
237,"黑铜号角
","黑铜号角
",3,"武器培养素材
","普通怪物掉落合成获得40级以上大体格丘丘人掉落(帮助视频：点击跳转)
"
238,"冒险阅历
","冒险阅历
",3,"其他
","世界探索任务报酬
"
239,"灯纸纤维
","灯纸纤维
",3,"活动材料
","植物类采集物中获取
"
240,"「黄金」的指引
","「黄金」的指引
",3,"角色天赋素材
","合成获得活动获得太山府精通秘境:焚尽之环Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周三/周六/周日秘境获得
"
241,"「风雅」的指引
","「风雅」的指引
",3,"角色天赋素材
","活动获得合成获得时间：周二/周五/周日秘境获得菫色之庭精通秘境:初雷幽谷Ⅱ/Ⅲ/Ⅳ（菫色之庭限时开启）
"
242,"声望经验·璃月
","声望经验·璃月
",3,"其他
","璃月世界任务璃月悬赏讨伐璃月居民请求
"
243,"「繁荣」的指引
","「繁荣」的指引
",3,"角色天赋素材
","合成获得活动获得太山府精通秘境:炽炎祭场Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周一/周四/周日秘境获得
"
244,"洞天宝钱
","洞天宝钱
",3,"其他
","尘歌壶
"
245,"混沌模块
","混沌模块
",3,"武器培养素材
","普通怪物掉落自律机关掉落
"
246,"混沌回路
","混沌回路
",3,"武器培养素材
","普通怪物掉落合成获得40级以上遗迹守卫掉落40级以上遗迹猎者掉落40级以上遗迹重机掉落
"
247,"凛风奔狼的裂齿
","凛风奔狼的裂齿
",3,"武器突破素材
","秘境获得合成获得塞西莉亚苗圃炼武秘境:深没之谷Ⅱ/Ⅲ/Ⅳ（塞西莉亚苗圃限时开启）时间：周二/周五/周日活动获得参量转化
"
248,"「巧思」的指引
","「巧思」的指引
",3,"角色天赋素材
","活动获得秘境获得昏识塔精通秘境:妙语Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周二/周五/周日合成获得
"
249,"绿洲花园的恩惠
","绿洲花园的恩惠
",3,"武器突破素材
","秘境获得合成获得有顶塔炼武秘境:思惑 Ⅱ/Ⅲ/Ⅳ（有顶塔限时开启）时间：周二/周五/周日
"
250,"涤净青金断片
","涤净青金断片
",3,"角色突破素材
","BOSS掉落40级以上纯水精灵掉落40级以上水属性古岩龙蜥掉落40级以上风魔龙挑战奖励40级以上黄金屋挑战奖励40级以上水属性若陀龙王挑战奖励40级以上无相之水掉落40级以上兆载永劫龙兽掉落40级以上正机之神挑战奖励周常BOSS掉落合成获得
"
251,"节庆热度（「磬弦奏华夜」）
","节庆热度（「磬弦奏华夜」）
",3,"其他
","「磬弦奏华夜」活动获得
"
252,"「天光」的指引
","「天光」的指引
",3,"角色天赋素材
","活动获得合成获得时间：周三/周六/周日秘境获得菫色之庭精通秘境:真葛废都II/III/IV（菫色之庭限时开启）
"
253,"高塔孤王的残垣
","高塔孤王的残垣
",3,"武器突破素材
","秘境获得合成获得塞西莉亚苗圃炼武秘境:水光之城Ⅱ/Ⅲ/Ⅳ（塞西莉亚苗圃限时开启）时间：周一/周四/周日活动获得参量转化
"
254,"灯芯绒材
","灯芯绒材
",3,"活动材料
","丘丘人系列魔物产出愚人众精英产出
"
255,"禁咒绘卷
","禁咒绘卷
",3,"角色与武器培养素材
","普通怪物掉落合成获得60级以上丘丘萨满掉落
"
256,"史莱姆原浆
","史莱姆原浆
",3,"角色与武器培养素材
","普通怪物掉落合成获得60级以上史莱姆掉落
"
257,"谧林涓露的铁符
","谧林涓露的铁符
",3,"武器突破素材
","秘境获得合成获得有顶塔炼武秘境:云垢 Ⅱ/Ⅲ/Ⅳ（有顶塔限时开启）时间：周一/周四/周日
"
258,"特工祭刀
","特工祭刀
",3,"武器培养素材
","普通怪物掉落合成获得40级以上债务处理人掉落(债务处理人位置视频)
"
259,"霜噬碎屑
","霜噬碎屑
",3,"活动材料
","「白垩与黑龙」活动期间击杀怪物掉落
"
260,"声望经验·稻妻
","声望经验·稻妻
",3,"其他
","稻妻世界任务稻妻悬赏讨伐稻妻居民请求
"
261,"雾海云间的汞丹
","雾海云间的汞丹
",3,"武器突破素材
","秘境获得合成获得震雷连山密宫炼武秘境:鸣雷城墟Ⅱ/Ⅲ/Ⅳ（震雷连山密宫限时开启）时间：周二/周五/周日活动获得参量转化
"
262,"休眠菌核
","休眠菌核
",3,"武器培养素材
","普通怪物掉落蕈兽掉落
"
263,"今昔剧画之虎啮
","今昔剧画之虎啮
",3,"武器突破素材
","合成获得活动获得参量转化秘境获得砂流之庭炼武秘境:流沙之葬 Ⅱ/Ⅲ/Ⅳ（砂流之庭限时开启）时间：周三/周六/周日
"
264,"「诤言」的指引
","「诤言」的指引
",3,"角色天赋素材
","活动获得合成获得秘境获得昏识塔精通秘境:圆镜Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周一/周四/周日
"
265,"璀璨原钻断片
","璀璨原钻断片
",3,"角色突破素材
","冒险等阶奖励
"
266,"纪行经验
","纪行经验
",3,"其他
","纪行任务获取
"
267,"「自由」的指引
","「自由」的指引
",3,"角色天赋素材
","合成获得活动获得忘却之峡精通秘境:霜凝祭坛Ⅱ/Ⅲ/Ⅳ(忘却之峡限时开启)时间：周一/周四/周日
"
268,"尉官的徽记
","尉官的徽记
",3,"角色与武器培养素材
","普通怪物掉落合成获得60级以上先遣队掉落60级以上债务处理人少量掉落60级以上雷莹术士少量掉落(债务处理人位置视频雷萤术士位置视频)（推荐：先遣队六兄弟位置）
"
269,"混浊棱晶
","混浊棱晶
",3,"武器培养素材
","合成获得40级以上元能构装体掉落星尘兑换
"
270,"坚牢黄玉断片
","坚牢黄玉断片
",3,"角色突破素材
","BOSS掉落合成获得40级以上无相之岩掉落40级以上北风狼挑战奖励40级以上黄金王兽掉落周常BOSS掉落40级以上古岩龙蜥掉落40级以上若陀龙王挑战奖励40级以上恒常机关阵列掉落40级以上遗迹巨蛇掉落
"
271,"密固的横脊
","密固的横脊
",3,"武器培养素材
","精英怪物掉落圣骸兽掉落
"
272,"逐月节节庆热度
","逐月节节庆热度
",3,"其他
","完成「觅取月晖」与「珍肴霞踪」可获得
"
273,"狮牙斗士的铁链
","狮牙斗士的铁链
",3,"武器突破素材
","秘境获得合成获得塞西莉亚苗圃炼武秘境:渴水的废都Ⅱ/Ⅲ/Ⅳ（塞西莉亚苗圃限时开启）时间：周三/周六/周日活动获得参量转化
"
274,"霜噬结晶
","霜噬结晶
",3,"活动材料
","「白垩与黑龙」活动期间击杀怪物掉落
"
275,"声望经验·须弥
","声望经验·须弥
",3,"其他
","须弥世界任务须弥悬赏讨伐须弥居民请求
"
276,"历战的箭簇
","历战的箭簇
",3,"角色与武器培养素材
","普通怪物掉落合成获得60级以上射手类丘丘人掉落(推荐位置：点击跳转视频)
"
277,"好感经验
","好感经验
",3,"其他
","委托任务洞天赠礼突发事件消耗  原粹树脂  
"
278,"「诗文」的指引
","「诗文」的指引
",3,"角色天赋素材
","合成获得活动获得忘却之峡精通秘境:沉睡之国Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周三/周六/周日秘境获得
"
279,"孤云寒林的辉岩
","孤云寒林的辉岩
",3,"武器突破素材
","合成获得秘境获得震雷连山密宫炼武秘境:雷云祭坛 Ⅱ/Ⅲ/Ⅳ（震雷连山密宫限时开启）时间：周一/周四/周日活动获得参量转化
"
280,"孢囊晶尘
","孢囊晶尘
",3,"角色与武器培养素材
","普通怪物掉落合成获得60级以上蕈兽掉落
"
281,"攫金鸦印
","攫金鸦印
",3,"角色与武器培养素材
","普通怪物掉落合成获得60级以上盗宝团成员掉落（盗宝团位置视频）
"
282,"地脉的枯叶
","地脉的枯叶
",3,"武器培养素材
","普通怪物掉落合成获得40级以上深渊法师掉落（深渊法师位置）40级以上深渊使徒掉落
"
283,"节庆热度
","节庆热度
",3,"其他
","完成「海灯节轶事」可获得
"
284,"夤夜刻像
","夤夜刻像
",3,"武器培养素材
","精英怪物掉落黑蛇众掉落深渊使徒深渊咏者掉落
"
285,"「笃行」的指引
","「笃行」的指引
",3,"角色天赋素材
","活动获得秘境获得昏识塔精通秘境:律藏Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周三/周六/周日合成获得
"
286,"摩拉
","摩拉
",3,"其他
","世界探索任务报酬纪念品商店兑换地脉衍出·藏金之花
"
287,"「浮世」的指引
","「浮世」的指引
",3,"角色天赋素材
","活动获得合成获得时间：周一/周四/周日秘境获得菫色之庭精通秘境:菫染之国Ⅱ/Ⅲ/Ⅳ（菫色之庭限时开启）
"
288,"鸣神御灵的欢喜
","鸣神御灵的欢喜
",3,"武器突破素材
","合成获得砂流之庭秘境获得炼武秘境:砂之祭场 Ⅱ/Ⅲ/Ⅳ（砂流之庭限时开启）时间：周二/周五/周日活动获得参量转化
"
289,"「勤劳」的指引
","「勤劳」的指引
",3,"角色天赋素材
","合成获得活动获得太山府精通秘境:深炎之底Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周二/周五/周日秘境获得
"
290,"不祥的面具
","不祥的面具
",3,"角色与武器培养素材
","普通怪物掉落合成获得60级以上丘丘人掉落60级以上射手类丘丘人少量掉落60级以上丘丘萨满人少量掉落60级以上大体格丘丘人少量掉落
"
291,"原素花蜜
","原素花蜜
",3,"角色与武器培养素材
","普通怪物掉落合成获得60级以上骗骗花掉落(采集帮助：骗骗花位置视频)
"
292,"哀叙冰玉断片
","哀叙冰玉断片
",3,"角色突破素材
","BOSS掉落合成获得40级以上急冻树掉落40级以上北风狼挑战奖励40级以上无相之冰掉落周常BOSS掉落40级以上冰属性古岩龙蜥掉落40级以上冰属性若陀龙王挑战奖励40级以上黄金屋挑战奖励40级以上魔偶剑鬼掉落40级以上恒常机关阵列掉落40级以上女士挑战奖励40级以上深海龙蜥之群掉落40级以上兆载永劫龙兽掉落
"
293,"雾虚草囊
","雾虚草囊
",3,"武器培养素材
","普通怪物掉落合成获得（雷萤术士位置视频）40级以上萤术士掉落
"
294,"自在松石断片
","自在松石断片
",3,"角色突破素材
","BOSS掉落合成获得40级以上无相之风掉落40级以上魔偶剑鬼掉落40级以上半永恒统辖矩阵掉落40级以上风蚀沙虫掉落周常BOSS掉落40级以上风魔龙挑战奖励40级以上正机之神挑战奖励
"
295,"结实的骨片
","结实的骨片
",3,"武器培养素材
","合成获得(幼岩龙蜥位置：视频)40级以上龙蜥（幼岩/岩/深海/深海幼）掉落精英怪物掉落
"
296,"名刀镡
","名刀镡
",3,"角色与武器培养素材
","普通怪物掉落野伏众掉落（帮助：位置视频）
"
297,"牌手经验
","牌手经验
",3,"其他
","大世界对局每周来客挑战
"
298,"混沌枢纽
","混沌枢纽
",3,"武器培养素材
","精英怪物掉落遗迹机兵掉落（帮助：位置视频）
"
299,"归风佳酿节节庆热度
","归风佳酿节节庆热度
",3,"其他
","「杯中遥吟之歌」活动获得
"
300,"浮游晶化核
","浮游晶化核
",3,"角色与武器培养素材
","普通怪物掉落合成获得60级以上飘浮灵掉落(推荐位置：点击跳转视频)
"
301,"角色经验
","角色经验
",3,"其他
","主线任务击败怪物
"
302,"浮生石片
","浮生石片
",3,"活动材料
","矿物类采集物幼岩龙蜥岩龙蜥丘丘岩盔王
"
303,"生长碧翡断片
","生长碧翡断片
",3,"角色突破素材
","BOSS掉落合成获得40级以上翠翎恐蕈掉落40级以上无相之草掉落
"
304,"织金红绸
","织金红绸
",3,"角色与武器培养素材
","普通怪物掉落镀金旅团掉落
"
305,"声望经验·蒙德
","声望经验·蒙德
",3,"其他
","蒙德世界任务蒙德悬赏讨伐蒙德居民请求
"
306,"远海夷地的玉枝
","远海夷地的玉枝
",3,"武器突破素材
","合成获得砂流之庭秘境获得炼武秘境:沉砂之渊 Ⅱ/Ⅲ/Ⅳ（砂流之庭限时开启）时间：周一/周四/周日活动获得参量转化
"
307,"燃愿玛瑙断片
","燃愿玛瑙断片
",3,"角色突破素材
","BOSS掉落合成获得40级以上北风狼挑战奖励40级以上无相之火挑战掉落40级以上爆炎树掉落周常BOSS掉落40级以上火属性古岩龙蜥掉落40级以上火属性若陀龙王挑战奖励40级以上女士挑战奖励40级以上半永恒统辖矩阵掉落
"
308,"精锻用魔矿
","精锻用魔矿
",3,"武器强化素材
","解决事件报酬由水晶块或魔晶块或紫晶块锻造获得
"
309,"水晶棱镜
","水晶棱镜
",3,"武器培养素材
","精英怪物掉落愚人众·冬国仕女掉落（帮助：位置视频）
"
310,"烈日威权的余光
","烈日威权的余光
",3,"武器突破素材
","秘境获得合成获得有顶塔时间：周三/周六/周日炼武秘境:引业 Ⅱ/Ⅲ/Ⅳ（有顶塔限时开启）
"
311,"最胜紫晶断片
","最胜紫晶断片
",3,"角色突破素材
","BOSS掉落40级以上无相之雷掉落40级以上雷音权现掉落40级以上雷属性古岩龙蜥掉落40级以上雷属性若陀龙王挑战奖励40级以上风魔龙挑战奖励40级以上黄金屋挑战奖励40级以上深海龙蜥之群掉落40级以上永恒的守护者挑战奖励40级以上正机之神挑战奖励40级以上掣电树掉落周常BOSS掉落合成获得
"
312,"晶凝之华
","晶凝之华
",4,"角色培养素材
","BOSS掉落30级以上无相之冰掉落
"
313,"飓风之种
","飓风之种
",4,"角色培养素材
","BOSS掉落30级以上无相之风掉落
"
314,"灭诤草蔓
","灭诤草蔓
",4,"角色培养素材
","BOSS掉落30级以上无相之草掉落
"
315,"绿洲花园的哀思
","绿洲花园的哀思
",4,"武器突破素材
","秘境获得合成获得有顶塔炼武秘境:思惑 Ⅲ/Ⅳ（有顶塔限时开启）时间：周二/周五/周日
"
316,"净水之心
","净水之心
",4,"角色培养素材
","BOSS掉落30级以上纯水精灵掉落
"
317,"生长碧翡块
","生长碧翡块
",4,"角色突破素材
","BOSS掉落合成获得60级以上翠翎恐蕈掉落60级以上无相之草掉落
"
318,"导光四面体
","导光四面体
",4,"角色培养素材
","BOSS掉落30级以上半永恒统辖矩阵掉落
"
319,"「童真的断篇」
","「童真的断篇」
",4,"精炼材料
","「盛夏！海岛？大冒险！」活动商店兑换
"
320,"苍砾蕊羽
","苍砾蕊羽
",4,"角色培养素材
","BOSS掉落30级以上风蚀沙虫掉落
"
321,"远海夷地的琼枝
","远海夷地的琼枝
",4,"武器突破素材
","合成获得砂流之庭秘境获得炼武秘境:沉砂之渊 Ⅲ/Ⅳ（砂流之庭限时开启）时间：周一/周四/周日
"
322,"「溶媒」
","「溶媒」
",4,"精炼材料
","「皑尘与雪影」活动商店兑换
"
323,"央陆弓原胚
","央陆弓原胚
",4,"素材
","其他来源（见下方来源章节）央陆原胚之匣（该途径获取详见该词条）周常BOSS掉落
"
324,"北陆长柄武器原胚
","北陆长柄武器原胚
",4,"素材
","其他来源（见下方来源章节）北陆原胚之匣（该途径获取详见该词条）周常BOSS掉落
"
325,"燃愿玛瑙块
","燃愿玛瑙块
",4,"角色突破素材
","BOSS掉落合成获得60级以上北风狼挑战奖励60级以上爆炎树掉落60级以上无相之火掉落周常BOSS掉落60级以上火属性古岩龙蜥掉落60级以上火属性若陀龙王挑战奖励60级以上女士挑战奖励60级以上半永恒统辖矩阵掉落
"
326,"最胜紫晶块
","最胜紫晶块
",4,"角色突破素材
","BOSS掉落60级以上无相之雷掉落60级以上雷属性古岩龙蜥掉落60级以上雷属性若陀龙王挑战奖励60级以上风魔龙挑战奖励60级以上黄金屋挑战奖励60级以上雷音权现掉落60级以上深海龙蜥之群掉落60级以上永恒的守护者挑战奖励60级以上正机之神挑战奖励60级以上掣电树掉落周常BOSS掉落合成获得
"
327,"隐兽鬼爪
","隐兽鬼爪
",4,"武器培养素材
","60级以上兽境幼兽掉落60级以上兽境猎犬掉落
"
328,"「抗争」的哲学
","「抗争」的哲学
",4,"角色天赋素材
","合成获得活动获得忘却之峡精通秘境:冰封废渊Ⅳ（忘却之峡限时开启）时间：周二/周五/周日秘境获得
"
329,"漆黑陨铁的一角
","漆黑陨铁的一角
",4,"武器突破素材
","秘境获得合成获得震雷连山密宫炼武秘境:古雷试炼场Ⅲ/Ⅳ（震雷连山密宫限时开启）时间：周三/周六/周日
"
330,"玄岩之塔
","玄岩之塔
",4,"角色培养素材
","BOSS掉落30级以上无相之岩掉落
"
331,"黑晶号角
","黑晶号角
",4,"武器培养素材
","普通怪物掉落合成获得60级以上大体格丘丘人掉落(帮助视频：点击跳转)
"
332,"明目之油膏
","明目之油膏
",4,"精炼材料
","「三界路飨祭」供奉睦疏之匣的奖励（等级5，9，10，14）
"
333,"原海鱼油
","原海鱼油
",4,"精炼材料
","鲁梅拉<须弥渔师>处兑换杂货店购买。
"
334,"「黄金」的哲学
","「黄金」的哲学
",4,"角色天赋素材
","合成获得活动获得太山府时间：周三/周六/周日精通秘境:焚尽之环 Ⅳ（太山府限时开启）秘境获得
"
335,"雷霆数珠
","雷霆数珠
",4,"角色培养素材
","BOSS掉落30级以上雷音权现掉落
"
336,"「风雅」的哲学
","「风雅」的哲学
",4,"角色天赋素材
","活动获得合成获得时间：周二/周五/周日秘境获得菫色之庭精通秘境:初雷幽谷 Ⅳ（菫色之庭限时开启）
"
337,"海皇香脂
","海皇香脂
",4,"精炼材料
","「韶光抚月」
"
338,"「繁荣」的哲学
","「繁荣」的哲学
",4,"角色天赋素材
","合成获得活动获得太山府精通秘境:炽炎祭场Ⅳ（太山府限时开启）时间：周一/周四/周日秘境获得
"
339,"混沌锚栓
","混沌锚栓
",4,"武器培养素材
","普通怪物掉落自律机关掉落
"
340,"混沌炉心
","混沌炉心
",4,"武器培养素材
","普通怪物掉落合成获得60级以上遗迹守卫掉落60级以上遗迹猎者掉落60级以上遗迹重机掉落
"
341,"混沌真眼
","混沌真眼
",4,"武器培养素材
","精英怪物掉落遗迹机兵掉落（帮助：位置视频）
"
342,"「天光」的哲学
","「天光」的哲学
",4,"角色天赋素材
","活动获得合成获得时间：周三/周六/周日秘境获得菫色之庭精通秘境:真葛废都IV（菫色之庭限时开启）
"
343,"央陆单手剑原胚
","央陆单手剑原胚
",4,"素材
","其他来源（见下方来源章节）央陆原胚之匣（该途径获取详见该词条）周常BOSS掉落
"
344,"北陆单手剑原胚
","北陆单手剑原胚
",4,"素材
","北陆原胚之匣（该途径获取详见该词条）其他来源（见下方来源章节）周常BOSS掉落
"
